Age,Gender,r_white,r_black,r_native,r_hispanic,m_married,m_single,HouseholdSize,NumChd,Edu,Income,Owner,h_singlefam,h_mobile,CloseCoast,CloseWater,OfficialHurricWatch,OfficialEvac,SrcLocalAuth,SrcLocalMedia,SrcNationalMedia,SrcInternet,SrcPeers,SeeStormCond,SeeShopClose,SeePeerEvac,PrevStormExp,PrevFalseAlarm,ProtectFromLooter,ProtectFromStorm,LostIncome,EvacExpense,Traffic,Evac
5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,2.0,4.0,3.0,5.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,1.0,0.0,5.0,3.0,2.0,4.0,1.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,4.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0
6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,0.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,0.0
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,1.0,1.0,5.0,1.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,5.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,5.0,5.0,1.0,5.0,3.0,1.0,4.0,0.0
3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,5.0,4.0,3.0,4.0,1.0,5.0,2.0,1.0,5.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,0.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,3.0,5.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0
2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0,1.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,0.0
5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0
5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,5.0,5.0,3.0,5.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,1.0,5.0,0.0
6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,3.0,5.0,1.0,5.0,0.0
5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,5.0,1.0,1.0,0.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,0.0
5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,5.0,4.0,4.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,3.0,3.0,5.0,1.0,3.0,4.0,1.0,3.0,4.0,0.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,3.0,1.0,3.0,5.0,0.0
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,0.0
5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,1.0,1.0,0.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,4.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,0.0
5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,0.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,2.0,3.0,2.0,1.0
5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,1.0,1.0,0.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,5.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0
4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,1.0,3.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0
6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,1.0,1.0,5.0,1.0
6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,3.0,2.0,4.0,1.0,1.0,5.0,1.0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,5.0,1.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,2.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,5.0,4.0,1.0,5.0,5.0,4.0,2.0,3.0,2.0,4.0,5.0,1.0
6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,0.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0
6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,5.0,5.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,5.0,5.0,1.0,5.0,5.0,1.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,1.0,1.0,0.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,0.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0
5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,0.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,1.0,3.0,5.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,1.0,1.0,0.0,1.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,1.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,5.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0,1.0
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,1.0,0.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,3.0,5.0,4.0,3.0,5.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,1.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,3.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0
5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,5.0,1.0,0.0,0.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,5.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,2.0,5.0,1.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,0.0
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,0.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,5.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,5.0,1.0,1.0,0.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0,1.0,1.0,0.0,5.0,5.0,2.0,2.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,5.0,0.0
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,4.0,1.0,1.0,0.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,5.0,1.0,1.0,0.0,4.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,3.0,1.0,1.0,0.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,5.0,3.0,2.0,1.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,0.0
6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,0.0
6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,3.0,1.0,0.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,1.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,0.0
6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,0.0
5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,1.0,1.0,0.0,5.0,3.0,4.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,1.0,5.0,5.0,1.0,1.0,3.0,1.0
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,0.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,5.0,1.0,1.0,0.0,4.0,5.0,2.0,5.0,3.0,5.0,4.0,1.0,2.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,5.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,0.0
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,1.0,1.0,0.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,5.0,2.0,4.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0
4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,5.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,5.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,5.0,1.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0
